freq_hz, C, log10_freq, log10_C
22.3550, 9.462339463682e-07, 1.34937388, -6.02400148
22.7736, 1.301442161224e-06, 1.35743120, -5.88557513
23.2000, 1.723035523941e-06, 1.36548851, -5.76370577
23.6345, 2.215060122661e-06, 1.37354583, -5.65461448
24.0770, 2.781744596395e-06, 1.38160314, -5.55568275
24.5279, 3.427506598414e-06, 1.38966045, -5.46502170
24.9872, 4.156959310114e-06, 1.39771777, -5.38122423
25.4551, 4.974917991332e-06, 1.40577508, -5.30321407
25.9318, 5.886406543692e-06, 1.41383240, -5.23014975
26.4174, 6.896664057094e-06, 1.42188971, -5.16136093
26.9121, 8.011151303768e-06, 1.42994703, -5.09630507
27.4160, 9.235557138506e-06, 1.43800434, -5.03453690
27.9294, 1.057580475756e-05, 1.44606166, -4.97568658
28.4524, 1.203805776200e-05, 1.45411897, -4.91944358
28.9852, 1.362872596403e-05, 1.46217628, -4.86554474
29.5280, 1.535447086691e-05, 1.47023360, -4.81376515
30.0809, 1.722221074050e-05, 1.47829091, -4.76391110
30.6442, 1.923912520505e-05, 1.48634823, -4.71581468
31.2180, 2.141265922603e-05, 1.49440554, -4.66932939
31.8026, 2.375052641187e-05, 1.50246286, -4.62432676
32.3981, 2.626071149517e-05, 1.51052017, -4.58069351
33.0048, 2.895147186577e-05, 1.51857749, -4.53832935
33.6229, 3.183133801158e-05, 1.52663480, -4.49714511
34.2525, 3.490911270969e-05, 1.53469211, -4.45706119
34.8939, 3.819386879694e-05, 1.54274943, -4.41800635
35.5473, 4.169494533528e-05, 1.55080674, -4.37991659
36.2130, 4.542194197377e-05, 1.55886406, -4.34273430
36.8911, 4.938471129535e-05, 1.56692137, -4.30640748
37.5819, 5.359334892401e-05, 1.57497869, -4.27088910
38.2856, 5.805818115610e-05, 1.58303600, -4.23613657
39.0026, 6.278974986916e-05, 1.59109332, -4.20211125
39.7329, 6.779879445347e-05, 1.59915063, -4.16877803
40.4770, 7.309623050570e-05, 1.60720794, -4.13610502
41.2349, 7.869312502183e-05, 1.61526526, -4.10406321
42.0071, 8.460066782820e-05, 1.62332257, -4.07262621
42.7937, 9.083013899609e-05, 1.63137989, -4.04177002
43.5951, 9.739287199783e-05, 1.63943720, -4.01147283
44.4114, 1.043002123816e-04, 1.64749452, -3.98171481
45.2430, 1.115634717689e-04, 1.65555183, -3.95247798
46.0903, 1.191938770146e-04, 1.66360915, -3.92374605
46.9533, 1.272025144134e-04, 1.67166646, -3.89550430
47.8326, 1.356002688930e-04, 1.67972378, -3.86773945
48.7283, 1.443977582009e-04, 1.68778109, -3.84043955
49.6408, 1.536052621650e-04, 1.69583840, -3.81359391
50.5703, 1.632326472038e-04, 1.70389572, -3.78719298
51.5173, 1.732892863538e-04, 1.71195303, -3.76122829
52.4820, 1.837839751987e-04, 1.72001035, -3.73569236
53.4648, 1.947248441968e-04, 1.72806766, -3.71057863
54.4659, 2.061192680366e-04, 1.73612498, -3.68588141
55.4859, 2.179737727733e-04, 1.74418229, -3.66159576
56.5249, 2.302939416384e-04, 1.75223961, -3.63771749
57.5833, 2.430843205403e-04, 1.76029692, -3.61424305
58.6616, 2.563483244002e-04, 1.76835423, -3.59116952
59.7601, 2.700881455801e-04, 1.77641155, -3.56849448
60.8792, 2.843046657572e-04, 1.78446886, -3.54621601
62.0192, 2.989973726764e-04, 1.79252618, -3.52433263
63.1806, 3.141642832603e-04, 1.80058349, -3.50284319
64.3637, 3.298018745785e-04, 1.80864081, -3.48174688
65.5689, 3.459050241595e-04, 1.81669812, -3.46104313
66.7968, 3.624669610776e-04, 1.82475544, -3.44073157
68.0476, 3.794792291497e-04, 1.83281275, -3.42081199
69.3218, 3.969316634453e-04, 1.84087006, -3.40128426
70.6199, 4.148123811372e-04, 1.84892738, -3.38214829
71.9424, 4.331077875075e-04, 1.85698469, -3.36340401
73.2895, 4.518025976824e-04, 1.86504201, -3.34505128
74.6619, 4.708798743948e-04, 1.87309932, -3.32708987
76.0601, 4.903210817878e-04, 1.88115664, -3.30951943
77.4843, 5.101061549671e-04, 1.88921395, -3.29233944
78.9353, 5.302135847152e-04, 1.89727127, -3.27554915
80.4134, 5.506205164807e-04, 1.90532858, -3.25914761
81.9192, 5.713028624879e-04, 1.91338589, -3.24313360
83.4532, 5.922354255586e-04, 1.92144321, -3.22750562
